"Time","Type","Expected Value","CVaR","Trading Cost","Maximum Value","Minimum Value","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2011-07-13","risk_neutral",1145745.89,18929.78,0.00,1424709.08,904511.29,0.00,0.00,1132351.78,0.00,0.00,0.00,0.00,0.00,0.00,9090.25,0.00,0.00,0.00,0.00,0.00
"2011-08-10","risk_averse",932793.08,3298.98,0.00,975249.10,896684.47,245219.58,471654.54,24421.02,27971.82,7217.25,753.73,788.71,6811.13,24807.11,8245.68,6924.05,6015.79,44950.54,56005.98,0.00
"2011-08-10","risk_neutral",1264197.85,23102.12,0.00,1568112.92,933794.29,0.00,0.00,1250700.80,0.00,0.00,0.00,0.00,0.00,0.00,8245.68,0.00,0.00,0.00,0.00,0.00
"2011-09-07","risk_averse",957019.17,3637.98,0.00,997499.06,901371.68,250071.04,484240.63,26004.40,28256.14,7267.58,791.63,826.74,6796.41,25974.65,8533.51,6826.05,6101.92,48984.04,55259.24,0.00
"2011-09-07","risk_neutral",1346251.30,20375.83,0.00,1663966.74,983010.45,0.00,0.00,1331791.80,0.00,0.00,0.00,0.00,0.00,0.00,8533.51,0.00,0.00,0.00,0.00,0.00
"2011-10-05","risk_averse",936065.11,4003.02,0.00,979526.48,897541.05,245065.21,481788.19,22951.77,27054.65,6699.19,704.42,817.76,5786.06,25400.83,7687.59,6578.14,5860.94,48584.23,49953.41,0.00
"2011-10-05","risk_neutral",1190022.28,18665.04,0.00,1516695.46,922930.42,0.00,0.00,1175454.20,0.00,0.00,0.00,0.00,0.00,0.00,7687.59,0.00,0.00,0.00,0.00,0.00
"2011-11-02","risk_averse",958926.42,3554.37,0.00,997882.98,921590.02,254371.21,480307.48,24549.41,29925.39,7729.38,767.15,868.80,7006.21,26488.77,8751.07,7225.29,6466.43,49358.55,54040.86,0.00
"2011-11-02","risk_neutral",1273083.20,21258.82,0.00,1639141.44,1032996.03,0.00,0.00,1257275.75,0.00,0.00,0.00,0.00,0.00,0.00,8751.07,0.00,0.00,0.00,0.00,0.00
"2011-11-30","risk_averse",949758.29,2293.94,371.50,991644.70,933565.73,243808.24,299112.77,24278.38,29332.90,7651.68,40344.70,84593.93,6739.36,84134.88,8299.74,6899.55,6360.30,51828.24,54394.58,0.00
"2011-11-30","risk_neutral",1257322.24,20598.57,0.00,1446642.34,954238.09,0.00,0.00,1243395.31,0.00,0.00,0.00,0.00,0.00,0.00,8299.74,0.00,0.00,0.00,0.00,0.00
"2011-12-28","risk_averse",958172.98,1996.98,100.00,988336.99,937027.95,249806.42,303556.47,71496.78,29431.95,7460.00,38398.85,87394.73,6413.62,84974.98,8740.26,7117.19,6287.22,2612.68,52429.46,0.00
"2011-12-28","risk_neutral",1115993.74,14750.24,0.00,1323307.87,1009550.07,0.00,0.00,1100938.15,0.00,0.00,0.00,0.00,0.00,0.00,8740.26,0.00,0.00,0.00,0.00,0.00
"2012-01-25","risk_averse",980605.11,2068.07,124.10,1001481.75,957287.82,255451.76,242081.58,79562.11,31257.12,7716.80,41772.49,84849.44,7210.49,84622.35,9275.38,7584.17,6690.88,64934.83,55377.14,0.00
"2012-01-25","risk_neutral",1240242.07,18196.68,0.00,1455089.17,1041510.95,0.00,0.00,1225131.57,0.00,0.00,0.00,0.00,0.00,0.00,9275.38,0.00,0.00,0.00,0.00,0.00
"2012-02-22","risk_averse",994435.35,2095.39,100.00,1011896.10,975995.65,257348.24,241300.67,82361.25,32864.00,8193.41,43225.56,84721.69,7387.16,86198.84,9248.36,7928.65,52284.06,22260.98,57145.75,0.00
