"Time","Type","Expected Value","CVaR","Trading Cost","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2012-08-08","risk_neutral",942660.38,37016.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,919198.87,0.00,0.00,0.00,0.00,0.00
"2012-09-05","risk_averse",1197014.08,1342.34,180.74,7434.94,746755.25,0.00,565.46,0.00,0.00,0.00,0.00,326330.45,0.00,0.00,0.00,99219.02,0.00,6297.72
"2012-09-05","risk_neutral",962845.95,20777.19,1894.14,0.00,0.00,947068.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2012-10-03","risk_averse",1206579.96,2116.14,0.00,7562.92,748971.76,0.00,563.94,0.00,0.00,0.00,0.00,331357.50,0.00,0.00,0.00,103365.76,0.00,6056.71
"2012-10-03","risk_neutral",1019588.54,34414.08,1996.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,997998.65,0.00,0.00,0.00,0.00,0.00
"2012-10-31","risk_averse",1184217.01,3628.90,0.00,7608.89,744815.81,0.00,566.92,0.00,0.00,0.00,0.00,323513.88,0.00,0.00,0.00,94375.29,0.00,6019.49
"2012-10-31","risk_neutral",1003454.41,35083.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,991207.65,0.00,0.00,0.00,0.00,0.00
"2012-11-28","risk_averse",1203240.34,1554.40,274.51,7587.77,753751.10,0.00,566.12,0.00,0.00,0.00,0.00,191070.31,0.00,0.00,0.00,98472.75,137256.70,5962.73
"2012-11-28","risk_neutral",997111.86,28672.06,1963.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,981922.01,0.00,0.00
"2012-12-26","risk_averse",1184844.11,3707.60,114.42,7539.31,746755.25,0.00,57778.38,0.00,0.00,0.00,0.00,181982.59,0.00,0.00,0.00,95896.00,81827.78,6098.59
"2012-12-26","risk_neutral",970951.17,28634.02,1912.46,0.00,0.00,956227.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2013-01-23","risk_averse",1201020.82,2229.77,50.00,7495.20,741421.78,0.00,62149.86,0.00,0.00,0.00,0.00,191609.77,0.00,0.00,0.00,101866.18,81111.44,6379.60
"2013-01-23","risk_neutral",976728.44,23850.98,1914.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,957408.43,0.00,0.00
"2013-02-20","risk_averse",1198440.17,3156.17,300.75,7435.56,736365.37,0.00,62545.84,0.00,0.00,0.00,0.00,349103.80,0.00,0.00,0.00,28955.84,0.00,6403.79
"2013-02-20","risk_neutral",961976.54,32712.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,951122.32,0.00,0.00
"2013-03-20","risk_averse",1218634.59,1453.90,177.03,7421.28,817133.14,0.00,37925.73,0.00,0.00,0.00,0.00,309564.52,0.00,0.00,0.00,31222.11,0.00,6487.54
"2013-03-20","risk_neutral",1040865.22,30013.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1025563.16,0.00,0.00
"2013-04-17","risk_averse",1244753.26,1060.90,0.00,7549.87,830822.12,0.00,36883.45,0.00,0.00,0.00,0.00,320014.09,0.00,0.00,0.00,33228.51,0.00,6762.97
"2013-04-17","risk_neutral",1104539.42,38535.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1091468.11,0.00,0.00
"2013-05-15","risk_averse",1257957.48,-282.18,200.00,7492.72,781847.33,0.00,0.00,0.00,0.00,0.00,0.00,333507.52,0.00,0.00,0.00,86306.61,0.00,37501.77
"2013-05-15","risk_neutral",1213747.97,32942.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1192575.31,0.00,0.00
"2013-06-12","risk_averse",1225231.91,4009.85,181.08,7259.13,718049.33,0.00,0.00,0.00,0.00,0.00,0.00,326541.14,0.00,0.00,0.00,84678.45,81079.49,0.00
"2013-06-12","risk_neutral",1191172.07,28349.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1170077.64,0.00,0.00
"2013-07-10","risk_averse",1214128.68,6298.04,50.00,7093.89,695729.73,0.00,0.00,0.00,0.00,0.00,0.00,334135.12,0.00,0.00,0.00,90204.60,80723.21,0.00
"2013-07-10","risk_neutral",1270687.16,31273.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1246437.40,0.00,0.00
"2013-08-07","risk_averse",1223624.85,901.35,306.32,7080.22,621496.73,0.00,0.00,48820.32,0.00,0.00,0.00,387430.03,0.00,0.00,0.00,147434.42,0.00,0.00
"2013-08-07","risk_neutral",1328672.15,24505.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1294542.72,0.00,0.00
"2013-09-04","risk_averse",1183550.72,6739.27,291.35,6890.12,671767.63,74392.72,0.00,48717.32,0.00,0.00,0.00,223344.19,0.00,0.00,0.00,152167.03,0.00,0.00
"2013-09-04","risk_neutral",1361983.96,36233.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1336097.25,0.00,0.00
"2013-10-02","risk_averse",1216873.95,4054.06,200.99,7047.29,695204.55,17328.25,0.00,6578.04,0.00,0.00,0.00,225546.67,0.00,0.00,0.00,255215.69,0.00,0.00
